
2025-05-08 17:07:17,medium,1.03,1.34,1.63,0.68,1.37,2.11,0.46,2.16,0.39,11.17
2025-05-08 17:07:29,medium,1.14,1.3,1.68,0.59,1.3,2.11,0.46,2.13,0.51,11.23
2025-05-08 17:07:40,medium,1.07,1.32,1.58,0.58,1.32,2.11,0.48,2.08,0.38,10.93
2025-05-08 17:07:51,medium,1.14,1.36,1.62,0.58,1.21,2.18,0.42,2.13,0.44,11.1
2025-05-08 17:08:03,medium,1.08,1.42,1.68,0.64,1.23,2.12,0.42,2.13,0.46,11.19
2025-05-08 17:08:14,medium,1.22,1.28,1.56,0.64,1.33,2.09,0.44,2.1,0.49,11.17
2025-05-08 17:08:25,medium,1.1,1.33,1.55,0.65,1.31,2.12,0.43,2.06,0.43,10.96
2025-05-08 17:08:37,medium,1.04,1.26,1.56,0.73,1.3,2.16,0.42,2.29,0.39,11.17
2025-05-08 17:08:48,medium,1.03,1.26,1.62,0.62,1.3,2.13,0.52,2.03,0.49,11.01
2025-05-08 17:08:59,medium,1.15,1.36,1.58,0.63,1.27,2.12,0.37,2.12,0.41,11.01
2025-05-08 17:09:10,medium,1.07,1.27,1.6,0.66,1.25,2.16,0.42,2.05,0.5,10.98
2025-05-08 17:09:22,medium,1.09,1.3,1.71,0.61,1.47,2.17,0.46,2.11,0.41,11.34
2025-05-08 17:09:33,medium,1.11,1.32,1.7,0.6,1.24,2.11,0.34,2.04,0.38,10.83
2025-05-08 17:09:44,medium,1.13,1.34,1.58,0.63,1.28,2.06,0.47,2.04,0.44,10.97
2025-05-08 17:09:55,medium,1.17,1.28,1.52,0.56,1.31,2.07,0.4,2.08,0.49,10.88
2025-05-08 17:10:06,medium,1.08,1.36,1.62,0.58,1.24,2.13,0.39,2.13,0.41,10.94
2025-05-08 17:10:17,medium,1.12,1.38,1.56,0.6,1.25,2.05,0.42,2.1,0.42,10.9
