               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.024766,           0.0063168,           0.0012374,             0.98771,              0.9958,             0.99492,             0.71165,            0.018531,           0.0032557,          0.00054018,            0.006535,            0.006535,            0.006535
                  37,            0.024263,             0.00648,          0.00076214,             0.98977,                   1,             0.99479,             0.71729,            0.018301,           0.0033197,          0.00024347,            0.006436,            0.006436,            0.006436
                  38,            0.024476,           0.0066296,          0.00097377,             0.99368,             0.99419,               0.995,             0.74598,            0.016848,           0.0032491,          0.00032767,            0.006337,            0.006337,            0.006337
                  39,            0.024339,           0.0064103,            0.001004,             0.99389,             0.98739,             0.99473,             0.72458,            0.018038,           0.0032887,          0.00065273,            0.006238,            0.006238,            0.006238
                  40,            0.023905,           0.0064361,           0.0011557,             0.99422,             0.99668,               0.995,             0.72014,            0.018667,           0.0032388,          0.00031107,            0.006139,            0.006139,            0.006139
                  41,            0.022403,           0.0062681,          0.00051176,             0.99797,                   1,               0.995,             0.74762,            0.019003,           0.0031591,          0.00023228,             0.00604,             0.00604,             0.00604
                  42,            0.022569,           0.0064613,          0.00066021,             0.99731,                   1,               0.995,             0.73757,            0.018972,           0.0032256,           0.0002703,            0.005941,            0.005941,            0.005941
                  43,             0.02303,           0.0064063,          0.00082505,             0.99117,             0.99445,               0.995,             0.75029,            0.016595,           0.0033129,          0.00027203,            0.005842,            0.005842,            0.005842
                  44,             0.02137,           0.0059921,          0.00056564,             0.99739,                   1,               0.995,             0.74536,            0.016193,           0.0031779,           0.0002266,            0.005743,            0.005743,            0.005743
                  45,            0.021901,           0.0061317,          0.00044523,             0.99286,                   1,               0.995,             0.76789,             0.01657,           0.0031198,          0.00020068,            0.005644,            0.005644,            0.005644
                  46,            0.021661,           0.0060191,          0.00059711,             0.99814,                   1,               0.995,             0.75918,            0.016245,           0.0030949,          0.00022541,            0.005545,            0.005545,            0.005545
                  47,            0.021737,           0.0060762,          0.00095029,              0.9983,              0.9958,               0.995,             0.76312,            0.016617,           0.0031281,          0.00025017,            0.005446,            0.005446,            0.005446
